page,id,label_true,label_pred,correct,time_ms
1,id-0-0-0,0,0,True,17.975513000237697
1,id-0-1-9,9,9,True,16.14980599970295
1,id-0-2-4,4,4,True,15.104454999345762
1,id-0-3-3,3,3,True,17.64352099962707
1,id-0-4-2,2,2,True,13.088845000311267
1,id-0-5-4,4,4,True,14.037142999768548
1,id-0-6-8,8,3,False,15.540078999947582
1,id-1-0-7,7,3,False,13.484182999491168
1,id-1-1-0,0,3,False,12.786921999577316
1,id-1-2-1,1,1,True,15.025337999759358
1,id-1-3-3,3,7,False,13.668591999703494
1,id-1-4-4,4,4,True,14.034743000593153
1,id-2-0-7,7,7,True,14.530252999975346
1,id-2-1-6,6,4,False,14.847409000140033
1,id-2-2-2,2,2,True,16.293001999656553
1,id-2-3-5,5,3,False,13.62744899961399
1,id-2-4-8,8,3,False,12.783195999872987
1,id-3-0-0,0,0,True,11.857294999572332
1,id-3-1-8,8,8,True,11.535917999935918
1,id-3-2-6,6,4,False,12.617770000360906
1,id-3-3-6,6,6,True,12.978671999917424
1,id-3-4-4,4,4,True,13.6687880003592
1,id-3-5-3,3,3,True,13.634699999784061
1,id-4-0-2,2,3,False,13.209648999691126
1,id-4-1-9,9,5,False,14.111989000411995
1,id-4-2-4,4,4,True,13.373950999266526
1,id-5-0-5,5,5,True,13.585272999989684
1,id-5-1-1,1,1,True,13.291457000377704
1,id-6-0-6,6,6,True,13.580803999502677
1,id-7-0-1,1,1,True,12.117655000110972
1,id-7-1-1,1,1,True,12.029671999698621
1,id-8-0-0,0,0,True,13.06099199973687
1,id-8-1-7,7,7,True,13.142969000000448
1,id-8-2-7,7,7,True,13.172232000215445
1,id-9-0-5,5,5,True,12.356397999610635
1,id-9-1-6,6,6,True,14.993558000242047
1,id-9-2-3,3,5,False,15.762798000650946
1,id-9-3-7,7,7,True,14.437645999350934
1,id-9-4-8,8,7,False,12.631546999728016
1,id-10-0-8,8,8,True,13.770020999800181
1,id-10-1-1,1,3,False,12.60529499995755
1,id-10-2-7,7,7,True,12.75514899953123
1,id-10-3-2,2,2,True,15.36962099999073
1,id-10-4-3,3,3,True,12.177311000414193
1,id-10-5-0,0,0,True,11.668094000015117
1,id-10-6-4,4,4,True,12.88068200028647
1,id-11-0-8,8,8,True,15.202976000182389
1,id-11-1-8,8,7,False,13.650840999616776
1,id-11-2-7,7,7,True,14.956030000575993
1,id-11-3-2,2,2,True,13.089506000142137
1,id-11-4-3,3,3,True,11.762284999349504
1,id-11-5-3,3,3,True,11.495388000184903
1,id-11-6-7,7,7,True,12.998393999623659
1,id-11-7-0,0,0,True,12.931706000017584
1,id-12-0-4,4,5,False,12.120727999899827
1,id-12-1-8,8,6,False,11.134858000332315
1,id-12-2-5,5,5,True,11.814199000582448
1,id-12-3-0,0,5,False,12.391989999741782
1,id-12-4-5,5,5,True,12.286813999708102
1,id-12-5-4,4,6,False,10.839642000064487
1,id-12-6-7,7,7,True,12.505694000537915
1,id-13-0-7,7,7,True,12.261699999726261
1,id-13-1-1,1,1,True,11.770170999625407
1,id-13-2-3,3,3,True,11.272447999544966
1,id-13-3-6,6,6,True,11.660746999950788
1,id-13-4-3,3,3,True,12.89704500049993
1,id-14-0-2,2,2,True,12.715959000161092
1,id-14-1-5,5,5,True,11.876225999913004
1,id-14-2-4,4,0,False,10.926633000053698
1,id-14-3-2,2,2,True,12.502300000051036
1,id-14-4-2,2,0,False,12.244327000189514
1,id-14-5-0,0,0,True,11.539219999576744
1,id-14-6-7,7,7,True,11.603098000705359
1,id-15-0-6,6,6,True,11.745960000553168
1,id-16-0-3,3,3,True,12.716070000351465
1,id-16-1-6,6,6,True,12.796966000678367
1,id-16-2-9,9,9,True,11.288112999864097
1,id-16-3-1,1,1,True,13.881611000215344
1,id-17-0-7,7,7,True,13.11499300027208
1,id-17-1-2,2,2,True,13.101384000037797
1,id-17-2-1,1,1,True,12.817073000405799
1,id-17-3-2,2,2,True,11.251205000007758
1,id-18-0-6,6,6,True,11.622222999903897
1,id-18-1-3,3,3,True,14.656782000201929
1,id-18-2-7,7,7,True,13.410219000434154
1,id-19-0-3,3,3,True,12.407277999955113
1,id-19-1-1,1,1,True,10.908026999459253
1,id-19-2-3,3,3,True,11.08700399981899
1,id-19-3-4,4,4,True,12.963490999936766
1,id-19-4-7,7,2,False,12.468466999962402
1,id-19-5-8,8,3,False,11.58285900055489
1,id-19-6-8,8,8,True,11.53013099974487
1,id-19-7-5,5,5,True,12.597549999554758
1,id-20-0-3,3,3,True,14.01312300004065
1,id-20-1-7,7,7,True,16.23192500028381
1,id-20-2-5,5,5,True,14.125003999652108
1,id-20-3-3,3,3,True,12.838162999287306
1,id-20-4-0,0,7,False,11.797027999818965
1,id-20-5-2,2,2,True,11.850270000650198
1,id-20-6-7,7,7,True,13.236988999778987
1,id-20-7-6,6,3,False,13.999703000081354
1,id-21-0-2,2,2,True,13.218218000474735
1,id-21-1-6,6,6,True,11.970464000114589
1,id-21-2-3,3,3,True,12.406185000145342
1,id-21-3-7,7,7,True,14.432617999773356
1,id-21-4-3,3,3,True,17.24361600008706
1,id-21-5-8,8,7,False,18.297571000402968
1,id-22-0-7,7,7,True,18.53629500055831
1,id-22-1-2,2,2,True,17.30962100009492
